                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.6742,                 1.1565,                 1.7892,                0.77051,                0.69942,                0.77185,                0.40008,                 1.6447,                 1.0506,                 1.7469,               0.007525,               0.007525,               0.007525
                     52,                 1.6894,                 1.1821,                 1.7965,                0.77308,                0.72863,                0.78608,                0.40653,                 1.6473,                 1.0365,                 1.7235,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.6608,                 1.1491,                 1.7897,                0.78696,                0.69653,                0.76734,                0.40414,                  1.635,                 1.0726,                   1.73,               0.007426,               0.007426,               0.007426
                     54,                 1.6698,                 1.1772,                  1.781,                0.79135,                0.71532,                0.78379,                0.40484,                 1.6584,                 1.0416,                 1.7405,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.6655,                  1.158,                 1.7881,                0.76336,                0.71243,                0.77574,                0.40105,                  1.687,                 1.0536,                 1.7623,               0.007327,               0.007327,               0.007327
                     56,                 1.6667,                 1.1748,                 1.7845,                0.77496,                0.73152,                0.79245,                0.40367,                 1.6949,                 1.0579,                 1.7693,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.6446,                  1.163,                 1.7641,                0.78419,                 0.7089,                0.77978,                0.40681,                 1.6752,                 1.0475,                 1.7413,               0.007228,               0.007228,               0.007228
                     58,                 1.6541,                 1.1722,                 1.7655,                0.78311,                0.71243,                0.78044,                0.39742,                 1.6605,                 1.0628,                 1.7308,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.6452,                 1.1707,                 1.7696,                0.78016,                0.73266,                0.79242,                0.41072,                 1.6497,                  1.023,                 1.7487,               0.007129,               0.007129,               0.007129
                     60,                 1.6613,                 1.1541,                 1.7798,                0.78465,                0.72135,                0.78876,                  0.401,                  1.691,                 1.0342,                 1.7461,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.6465,                 1.1335,                 1.7554,                0.75352,                0.73776,                0.78774,                 0.4087,                 1.6669,                 1.0324,                 1.7266,                0.00703,                0.00703,                0.00703
                     62,                 1.6466,                 1.1447,                 1.7683,                0.77273,                0.73988,                0.78951,                0.41957,                 1.6301,                   1.02,                 1.7136,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.6614,                 1.1593,                 1.7701,                0.77305,                0.73836,                0.79392,                0.41892,                  1.659,                 1.0089,                  1.719,               0.006931,               0.006931,               0.006931
                     64,                 1.6494,                 1.1371,                  1.768,                0.78138,                0.70231,                0.77745,                0.41525,                 1.6335,                  1.019,                 1.7167,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.6436,                 1.1275,                  1.757,                0.77983,                0.72171,                0.79162,                  0.414,                 1.6621,                 1.0174,                 1.7288,               0.006832,               0.006832,               0.006832
                     66,                 1.6442,                 1.1445,                 1.7577,                0.79227,                 0.6922,                0.77681,                0.42073,                 1.5938,                 1.0388,                 1.6994,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.6438,                   1.15,                 1.7509,                0.78697,                0.72543,                 0.7951,                0.41148,                 1.6404,                 1.0154,                  1.716,               0.006733,               0.006733,               0.006733
                     68,                 1.6381,                 1.1308,                 1.7468,                0.77606,                0.72613,                0.77918,                 0.4106,                 1.6308,                 1.0333,                 1.7155,              0.0066835,              0.0066835,              0.0066835
                     69,                   1.64,                 1.1436,                 1.7531,                0.76528,                0.73971,                0.78766,                 0.4055,                 1.6546,                 1.0283,                 1.7223,               0.006634,               0.006634,               0.006634
                     70,                 1.6343,                 1.1412,                  1.748,                0.78569,                 0.7341,                0.78752,                0.41605,                 1.6294,                 1.0077,                 1.7081,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.6434,                 1.1515,                 1.7563,                0.77777,                0.71676,                0.78856,                0.41536,                  1.624,                 1.0204,                 1.7176,               0.006535,               0.006535,               0.006535
                     72,                 1.6314,                 1.1273,                 1.7457,                0.77427,                0.72399,                0.79363,                0.41371,                 1.6516,                 1.0096,                 1.7051,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.6246,                 1.1375,                 1.7425,                0.76443,                0.72214,                0.78217,                0.41912,                 1.6072,                  1.033,                 1.7057,               0.006436,               0.006436,               0.006436
                     74,                 1.6345,                 1.1226,                 1.7381,                0.77277,                0.73844,                0.78358,                0.41641,                 1.6328,                 1.0239,                 1.7088,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.6245,                 1.1263,                 1.7397,                0.75142,                0.74277,                0.78557,                0.41886,                 1.6166,                 1.0065,                 1.6912,               0.006337,               0.006337,               0.006337
                     76,                  1.623,                  1.146,                 1.7434,                0.77376,                0.72254,                0.77654,                0.41038,                 1.6484,                 1.0366,                 1.7322,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.622,                  1.134,                   1.74,                0.76832,                0.72365,                0.78072,                0.41491,                 1.6376,                 1.0113,                 1.7146,               0.006238,               0.006238,               0.006238
                     78,                 1.6116,                 1.1316,                 1.7299,                 0.7872,                0.72688,                0.78487,                0.42543,                 1.6341,                0.99083,                 1.6927,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.6164,                 1.1306,                 1.7338,                0.79546,                0.71676,                0.78566,                 0.4198,                 1.6081,                0.99986,                   1.68,               0.006139,               0.006139,               0.006139
                     80,                 1.6252,                 1.1099,                 1.7309,                0.77919,                0.72413,                0.78484,                0.41917,                 1.6248,                0.98207,                 1.6885,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.6211,                 1.1234,                 1.7339,                0.75644,                0.73988,                0.78359,                0.41875,                 1.6314,                   1.01,                 1.7158,                0.00604,                0.00604,                0.00604
                     82,                 1.6263,                 1.1334,                 1.7335,                0.78831,                0.71821,                0.79185,                0.41953,                 1.6489,                0.98936,                 1.7108,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.603,                    1.1,                 1.7041,                0.77216,                0.73461,                0.78593,                0.41192,                 1.6363,                 1.0051,                 1.6993,               0.005941,               0.005941,               0.005941
                     84,                 1.5968,                 1.1112,                 1.7112,                0.77216,                0.73121,                0.78705,                0.41926,                 1.6287,                 0.9859,                  1.689,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.5983,                  1.111,                 1.7146,                0.77916,                0.72398,                0.79051,                0.41159,                 1.6704,                 1.0228,                  1.723,               0.005842,               0.005842,               0.005842
                     86,                 1.6049,                 1.1213,                 1.7233,                0.78363,                0.71178,                0.78718,                0.41741,                 1.6344,                0.99866,                 1.6886,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.5977,                 1.0866,                 1.7117,                0.78796,                0.71958,                0.78261,                 0.4186,                 1.6104,                0.99662,                 1.6751,               0.005743,               0.005743,               0.005743
                     88,                 1.6063,                  1.113,                 1.7091,                0.78952,                0.71965,                0.79171,                0.41468,                 1.6501,                0.98575,                 1.7025,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.5985,                 1.0955,                 1.7051,                0.77762,                0.73988,                0.79235,                0.41653,                 1.6433,                0.97442,                 1.6811,               0.005644,               0.005644,               0.005644
                     90,                 1.5906,                 1.0991,                  1.697,                0.77626,                   0.75,                0.79525,                0.42681,                 1.6124,                0.98808,                   1.68,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.5907,                 1.1017,                  1.701,                0.78624,                0.72977,                0.78651,                0.41899,                 1.6178,                0.96662,                 1.6873,               0.005545,               0.005545,               0.005545
                     92,                 1.5898,                 1.1137,                 1.6971,                0.80137,                0.71532,                0.79127,                 0.4226,                 1.6537,                0.98263,                 1.7016,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.6048,                 1.1115,                 1.7094,                0.77995,                0.72731,                0.79535,                0.42437,                 1.6233,                0.95724,                 1.6882,               0.005446,               0.005446,               0.005446
                     94,                 1.6009,                 1.0847,                 1.7019,                0.78724,                0.72688,                0.78268,                0.42165,                  1.599,                0.99309,                 1.6634,              0.0053965,              0.0053965,              0.0053965
