                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.6844,                 1.2025,                 1.8601,                0.76062,                0.71532,                0.77383,                 0.4114,                 1.6531,                 1.0639,                 1.8068,               0.007822,               0.007822,               0.007822
                     46,                 1.7078,                 1.2045,                 1.8667,                 0.7698,                0.71098,                0.78301,                0.40613,                 1.6453,                 1.0889,                 1.8039,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.6891,                 1.2004,                  1.863,                0.76013,                0.72814,                0.77773,                0.39914,                 1.6846,                 1.0972,                 1.8305,               0.007723,               0.007723,               0.007723
                     48,                 1.7035,                  1.226,                 1.8718,                0.76684,                0.70818,                0.77376,                0.41131,                  1.652,                  1.064,                  1.807,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.6631,                  1.192,                 1.8422,                0.76477,                0.69533,                0.77471,                0.39893,                 1.6623,                 1.0617,                 1.8011,               0.007624,               0.007624,               0.007624
                     50,                 1.6784,                 1.1944,                 1.8487,                0.79586,                 0.6922,                0.77791,                0.40221,                 1.6492,                 1.1009,                 1.7959,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.6765,                 1.1612,                 1.8484,                0.78414,                0.70954,                0.78409,                0.40306,                 1.6631,                 1.0673,                 1.8186,               0.007525,               0.007525,               0.007525
                     52,                 1.6805,                 1.2002,                 1.8521,                0.75628,                0.73988,                0.78047,                 0.4079,                 1.6341,                 1.0716,                 1.7709,              0.0074755,              0.0074755,              0.0074755
                     53,                   1.66,                 1.1664,                 1.8444,                0.77041,                0.72253,                0.77881,                0.40197,                 1.6465,                 1.1212,                 1.7993,               0.007426,               0.007426,               0.007426
                     54,                 1.6672,                 1.1905,                 1.8485,                0.77335,                0.72688,                0.78951,                0.41354,                 1.6225,                 1.0859,                 1.7873,              0.0073765,              0.0073765,              0.0073765
