                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.3326,                0.92154,                 1.6867,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2981,                0.90265,                 1.6525,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007327,               0.007327,               0.007327
                     56,                 1.2721,                0.89011,                  1.632,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2637,                0.90138,                 1.6132,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007228,               0.007228,               0.007228
                     58,                 1.2542,                0.87745,                 1.6028,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2361,                0.87047,                 1.5944,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                     60,                 1.2358,                0.86892,                 1.5964,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2223,                0.84948,                 1.5888,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                     62,                 1.2074,                0.83179,                 1.5687,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1847,                0.81797,                  1.547,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006931,               0.006931,               0.006931
                     64,                 1.1863,                0.82115,                 1.5454,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1624,                0.80911,                  1.525,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006832,               0.006832,               0.006832
                     66,                 1.1579,                0.80154,                 1.5304,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.1452,                0.79704,                 1.5063,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006733,               0.006733,               0.006733
                     68,                 1.1286,                0.79577,                 1.4983,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1201,                0.78058,                 1.4885,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006634,               0.006634,               0.006634
                     70,                 1.1078,                0.75982,                 1.4811,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1092,                0.77621,                 1.4727,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                     72,                 1.0969,                0.77514,                 1.4678,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.0829,                0.75193,                 1.4502,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006436,               0.006436,               0.006436
                     74,                 1.0689,                0.73742,                 1.4427,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.0603,                 0.7372,                 1.4375,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     76,                 1.0445,                0.72041,                 1.4241,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.0457,                0.72391,                  1.415,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     78,                 1.0278,                0.70719,                 1.3989,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0306,                0.71075,                  1.404,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     80,                0.99599,                0.69288,                 1.3707,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0043,                0.70506,                 1.3724,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     82,                 0.9917,                 0.6792,                 1.3738,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0059905,              0.0059905,              0.0059905
                     83,                0.98198,                0.68839,                 1.3549,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     84,                0.97007,                0.67657,                  1.349,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0058915,              0.0058915,              0.0058915
                     85,                0.95918,                0.67462,                 1.3347,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     86,                0.95929,                0.67639,                  1.334,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0057925,              0.0057925,              0.0057925
                     87,                 0.9504,                0.65078,                 1.3311,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     88,                0.93881,                0.65081,                 1.3171,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0056935,              0.0056935,              0.0056935
                     89,                0.93198,                0.63935,                 1.3097,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     90,                0.91778,                0.63849,                  1.306,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0055945,              0.0055945,              0.0055945
                     91,                0.90826,                0.62166,                  1.293,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     92,                0.91475,                0.64026,                 1.3043,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0054955,              0.0054955,              0.0054955
                     93,                0.90071,                0.62346,                 1.2905,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     94,                0.89588,                0.62256,                 1.2799,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,              0.0053965,              0.0053965,              0.0053965
                     95,                0.89408,                0.61599,                 1.2721,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
